Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1099471658,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099471668,0000012B,false,Rx,1,8,5F,1E,80,10,00,00,00,00,
1099471939,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099471950,00000663,false,Rx,1,8,60,28,20,0E,2A,9A,16,00,
1099472227,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099472237,00000658,false,Rx,1,8,33,0A,04,00,00,00,00,00,
1099497653,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099497664,00000184,false,Rx,1,8,DF,0D,00,00,00,00,00,00,
1099497899,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099497910,00000665,false,Rx,1,7,01,00,00,00,00,00,00,00,
1099498181,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099498201,00000643,false,Rx,1,8,00,02,03,00,00,00,00,00,
1099498469,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099498481,0000012B,false,Rx,1,8,75,1F,80,10,00,00,00,00,
1099498757,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099498768,0000032A,false,Rx,1,8,5A,09,00,00,00,02,00,00,
1099499045,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099499056,000003C7,false,Rx,1,8,FD,10,28,00,00,30,80,00,
1099499336,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099499347,0000031E,false,Rx,1,8,AA,E6,3F,00,00,00,00,00,
1099499621,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099499632,00000107,false,Rx,1,8,17,00,FE,E8,01,39,19,79,
1099524996,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099525006,0000012B,false,Rx,1,8,FE,10,80,10,00,00,00,00,
1099525253,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099525264,000003E5,false,Rx,1,8,5A,18,00,00,00,00,00,00,
1099525541,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099525552,000003D5,false,Rx,1,8,87,08,00,00,00,00,00,00,
1099525830,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099525841,000000FD,false,Rx,1,8,53,EA,3F,80,B0,15,00,00,
1099526117,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099526128,00000101,false,Rx,1,8,60,0A,76,0A,82,4A,41,00,
1099526405,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099526416,000003DC,false,Rx,1,8,E0,00,60,17,00,08,00,00,
1099526699,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099526710,000003C0,false,Rx,1,4,FE,04,03,00,00,00,00,00,
1099526981,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099527001,000000FD,false,Rx,1,8,5F,EB,3F,80,BB,15,00,00,
1099552081,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099552092,00000101,false,Rx,1,8,D3,0B,76,0C,82,4A,41,00,
1099552325,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099552336,000003B5,false,Rx,1,8,87,FE,00,28,1C,7D,18,00,
1099552618,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099552629,1B000046,true,Rx,1,8,46,00,04,01,01,00,00,00,
1099552901,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099552922,000005E9,false,Rx,1,8,00,6B,13,00,00,00,00,00,
1099553189,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099553200,00000668,false,Rx,1,8,02,00,00,43,00,00,E6,29,
1099553477,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1099553488,0000031E,false,Rx,1,8,AC,E7,3F,00,00,00,00,00,
